selenographic crater coordinates: ID, X, Y, Z, a_dia_metres, b_dia_metres, angle(degree)
04-1-107075, 868110.91068402, -434395.44570922, 1440917.34790669, 5.21, 3.65, 1.24
04-1-107384, 618735.89022482, -731242.59858630, 1449485.74334502, 5.79, 2.70, 2.36
04-1-107412, 622012.80762946, -768670.31427514, 1428567.38556397, 5.85, 5.51, 0.82
04-1-107414, 618622.51899852, -766311.45093874, 1431304.19518287, 4.39, 3.73, 1.66
04-1-107460, 587042.13462311, -773399.45076587, 1440761.45899736, 5.03, 4.75, 2.42
04-1-107518, 568313.24172855, -797422.68759951, 1435164.05911574, 4.66, 4.08, 2.06
04-1-107559, 558474.75388679, -783068.36000159, 1446882.39080981, 6.00, 4.79, 1.88
04-1-107842, 478360.10389757, -852881.05139033, 1436079.48358662, 5.31, 4.88, 1.70
04-1-107854, 477084.96013673, -861463.97899062, 1431372.94710812, 6.72, 5.93, 1.32
04-1-108321, 109093.84209429, -965594.60358433, 1440237.60371195, 6.99, 5.54, 2.43
04-1-108374, 45543.76354973, -976254.15634683, 1436458.26525425, 4.60, 4.13, 1.78
04-1-108383, 39403.65657841, -981065.39268624, 1433358.57590543, 6.03, 5.75, 1.91
